download_count,project
15332567,"yfinance"
15319914,"looker-sdk"
15269437,"tree-sitter-c"
15267659,"confection"
15213770,"tensorboard-data-server"
15200592,"cymem"
15176818,"parse"
15167128,"azure-kusto-data"
15161693,"immutabledict"
15123959,"faiss-cpu"
15068619,"parameterized"
15066816,"wtforms"
15033623,"ua-parser-builtins"
15022388,"configargparse"
14980643,"types-tabulate"
14976047,"langchain-anthropic"
14937482,"langchain-classic"
14931599,"tree-sitter-java"
14914057,"opentelemetry-instrumentation-sqlalchemy"
14840450,"boltons"
14837943,"pydocket"
14798633,"pymupdf4llm"
14768782,"pathos"
14732291,"opentelemetry-instrumentation-aiohttp-client"
14686222,"url-normalize"
14666351,"pathvalidate"
14657759,"django-cors-headers"
14646999,"cmake"
14632776,"logfire-api"
14608241,"meson"
14574791,"checkov"
14548255,"openlineage-python"
14547026,"makefun"
14494958,"tree-sitter-go"
14489994,"tree-sitter-rust"
14485260,"genai-prices"
14443478,"gremlinpython"
14428939,"wasabi"
14381204,"sh"
14324520,"soundfile"
14251788,"pox"
14223572,"ppft"
14175691,"pydot"
14107080,"docopt"
14090370,"questionary"
14087796,"cachelib"
14040660,"smdebug-rulesconfig"
13999107,"azure-mgmt-containerservice"
13968218,"mlflow-tracing"
13966842,"spacy-legacy"
13952750,"groq"
13926219,"resolvelib"
13853132,"spacy-loggers"
13851309,"sounddevice"
13830458,"gast"
13802554,"asyncssh"
13797252,"partd"
13796082,"pyproject-api"
13786936,"apache-airflow-providers-cncf-kubernetes"
13785321,"trino"
13775010,"geopandas"
13746352,"tritonclient"
13712071,"locket"
13703269,"pymupdf-layout"
13701257,"types-pyopenssl"
13681181,"diff-cover"
13672214,"pooch"
13623261,"aiohttp-cors"
13617751,"azure-mgmt-storage"
13592005,"azure-storage-file-share"
13587292,"multitasking"
13566996,"slowapi"
13548416,"requests-cache"
13537088,"atlassian-python-api"
13525649,"arxiv"
13507491,"pywin32-ctypes"
13479976,"pip-audit"
13477545,"pip-api"
13475790,"glom"
13473909,"jaydebeapi"
13427756,"aiosmtplib"
13423440,"jupyter-console"
13421112,"jupyter"
13377794,"azure-monitor-opentelemetry"
13305850,"astronomer-cosmos"
13289012,"flit"
13284767,"face"
13281581,"python-gnupg"
13276453,"statsd"
13276219,"memray"
13257866,"azure-mgmt-compute"
13248734,"py-partiql-parser"
13200635,"opentelemetry-instrumentation-redis"
13192901,"tree-sitter-php"
13184408,"geoip2"
13093205,"pytest-django"
13076242,"sqlmodel"
13063098,"tree-sitter-ruby"
13023298,"supervisor"
12995205,"olefile"
12978119,"colorful"
12954435,"meson-python"
12946334,"firebase-admin"
12928263,"optuna"
12924267,"hydra-core"
12916495,"inputimeout"
12907058,"google-ai-generativelanguage"
12902501,"lightgbm"
12898217,"fuzzywuzzy"
12882263,"restructuredtext-lint"
12866539,"uuid6"
12842418,"flask-appbuilder"
12807035,"grpcio-gcp"
12802647,"html2text"
12771283,"dirhash"
12769608,"scantree"
12734709,"types-markdown"
12686251,"emoji"
12678538,"apache-airflow-providers-ssh"
12612805,"jaxlib"
12579752,"skops"
12563572,"geographiclib"
12522850,"pydeequ"
12522347,"mkdocs-material"
